,Zipcode,Start_Lat,Start_Lng,State,Temperature,Humidity,Pressure,Wind_Speed,Month,Day,Hour,Dayofweek,Weekend,Weather_id,Severity
53,90045,33.973739,-118.381577,California,65.71,39,30.035440047253395,3.36,10,29,12,4,False,800,True
54,95380,37.518267,-120.883509,California,53.82,75,30.09450679267573,4.7,10,29,12,4,False,721,False
55,92618,33.677582,-117.757184,California,57.67,72,30.005906674542235,0.27,10,29,3,4,False,800,True
56,92887,33.868977,-117.676054,California,49.91,81,30.064973419964556,1.66,10,29,10,4,False,800,False
57,92879,33.872534,-117.665006,California,51.53,81,30.064973419964556,1.7,10,29,11,4,False,800,False
58,92801,33.854002,-117.941834,California,62.08,48,30.035440047253395,3.36,10,29,11,4,False,721,False
59,92683,33.746406,-118.007025,California,62.01,48,30.035440047253395,3.36,10,29,12,4,False,721,False
60,92806,33.849859,-117.875831,California,64.83,48,30.035440047253395,3.36,10,29,12,4,False,721,False
61,96003,40.643529,-122.366131,California,49.3,57,30.09450679267573,3.31,10,29,3,4,False,800,True
62,95820,38.550424,-121.427177,California,55.27,76,30.09450679267573,3.04,10,29,12,4,False,800,False
63,95330,37.851669,-121.282931,California,53.74,57,30.09450679267573,2.82,10,29,12,4,False,800,True
64,92345,34.467424,-117.34834599999999,California,65.77,13,29.562906083874783,1.86,10,29,12,4,False,800,True
65,93657,36.720083,-119.45720800000001,California,50.85,53,30.12404016538689,3.36,10,29,11,4,False,800,False
66,93722,36.7958,-119.868835,California,54.14,26,30.12404016538689,3.36,10,29,12,4,False,800,False
67,95407,38.401845,-122.72942900000001,California,43.38,51,30.064973419964556,1.83,10,29,11,4,False,800,False
68,94541,37.689043,-122.10532099999999,California,56.34,43,30.09450679267573,2.06,10,29,12,4,False,800,False
69,94588,37.660212,-121.90493400000001,California,56.05,66,30.09450679267573,2.04,10,29,12,4,False,711,True
70,94112,37.732234999999996,-122.432073,California,57.99,72,30.09450679267573,1.01,10,29,12,4,False,800,True
71,95131,37.382115999999996,-121.90428899999999,California,57.34,50,30.09450679267573,0.96,10,29,12,4,False,721,True
72,94112,37.732234999999996,-122.432073,California,57.0,75,30.09450679267573,5.14,10,29,11,4,False,800,True
73,95131,37.382115999999996,-121.90428899999999,California,57.33,50,30.09450679267573,0.96,10,29,12,4,False,721,True
74,95454,39.681219,-123.47681399999999,California,47.73,41,30.09450679267573,2.89,10,29,11,4,False,800,False
75,95503,40.764084999999994,-124.149451,California,47.44,61,30.09450679267573,10.29,10,29,12,4,False,800,False
76,92501,34.003031,-117.38073600000001,California,53.46,46,30.035440047253395,6.93,10,29,10,4,False,800,False
77,92407,34.165168,-117.35727800000001,California,63.9,28,30.005906674542235,3.36,10,29,11,4,False,800,True
78,92553,33.940728,-117.26153799999999,California,63.36,41,30.064973419964556,0.89,10,29,12,4,False,800,False
79,90650,33.924683,-118.10396999999999,California,59.85,48,30.035440047253395,3.36,10,29,11,4,False,721,True
80,90650,33.924683,-118.10396999999999,California,60.01,48,30.035440047253395,3.36,10,29,11,4,False,721,True
81,90650,33.924686,-118.10396899999999,California,63.05,48,30.035440047253395,3.36,10,29,12,4,False,721,True
82,91765,34.010308,-117.823429,California,64.18,51,30.064973419964556,4.7,10,29,12,4,False,800,False
83,90045,33.973739,-118.38157700000001,California,65.77,39,30.035440047253395,3.36,10,29,12,4,False,800,True
84,90021,34.028467,-118.22993799999999,California,64.02,39,30.035440047253395,1.63,10,29,12,4,False,800,True
85,91203,34.156061,-118.26456999999999,California,63.52,44,30.064973419964556,0.81,10,29,11,4,False,800,False
86,90045,33.973739,-118.38157700000001,California,65.71,39,30.035440047253395,3.36,10,29,12,4,False,800,True
87,92618,33.677582,-117.75718400000001,California,57.67,72,30.005906674542235,0.27,10,29,3,4,False,800,True
88,92887,33.868977,-117.67605400000001,California,49.91,81,30.064973419964556,1.66,10,29,10,4,False,800,False
89,92801,33.854002,-117.94183400000001,California,62.08,48,30.035440047253395,3.36,10,29,11,4,False,721,False
90,96003,40.643529,-122.36613100000001,California,49.3,57,30.09450679267573,3.31,10,29,3,4,False,800,True
91,93101,34.413214,-119.695307,California,63.84,51,30.09450679267573,3.22,10,29,12,4,False,800,False
92,62034,38.75743,-90.04355,Illinois,40.82,100,30.09450679267573,4.72,10,28,7,3,False,500,True
93,62960,37.17514,-88.68235,Illinois,55.27,93,29.53337271116361,6.93,10,29,8,4,False,500,True
94,60143,41.95151,-88.03498,Illinois,43.52,81,29.82870643827525,12.75,10,29,11,4,False,804,False
95,60451,41.5386,-87.95900999999998,Illinois,45.18,81,29.76963969285293,11.41,10,29,11,4,False,804,True
96,60628,41.69231,-87.59810999999998,Illinois,41.61,51,29.858239810986408,3.36,10,29,3,4,False,804,True
97,60608,41.83728,-87.67545,Illinois,41.74,50,29.82870643827525,3.36,10,29,3,4,False,804,True
98,60101,41.94875,-88.00332,Illinois,40.28,53,29.858239810986408,5.57,10,29,3,4,False,800,True
99,60628,41.707679999999996,-87.59194000000002,Illinois,41.99,51,29.858239810986408,3.36,10,29,3,4,False,804,True
100,60439,41.71666,-88.00681999999998,Illinois,39.76,80,29.76963969285293,5.82,10,29,4,4,False,800,False
101,62960,37.17253,-88.68238000000002,Illinois,54.07,93,29.53337271116361,9.17,10,29,4,4,False,502,True
102,62881,38.62194,-88.97195,Illinois,48.51,93,29.29710572947431,5.82,10,29,5,4,False,502,True
103,60616,41.84724,-87.6418,Illinois,45.19,75,29.799173065564087,14.99,10,29,7,4,False,804,False
104,60616,41.84713,-87.64151,Illinois,45.19,75,29.799173065564087,14.99,10,29,7,4,False,804,False
105,62040,38.75794000000001,-90.08352,Illinois,43.83,93,29.740106320141763,13.87,10,29,7,4,False,803,True
106,62530,39.566359999999996,-89.64598000000002,Illinois,43.07,81,29.740106320141763,10.29,10,29,8,4,False,804,False
107,60501,41.7715,-87.84477,Illinois,44.06,75,29.76963969285293,14.99,10,29,8,4,False,804,False
108,60644,41.87105,-87.76436,Illinois,44.85,75,29.799173065564087,17.22,10,29,8,4,False,803,False
109,60478,41.56542,-87.74212,Illinois,45.18,81,29.799173065564087,12.75,10,29,9,4,False,804,True
110,61776,40.54012,-88.93701999999998,Illinois,40.08,80,29.76963969285293,16.11,10,29,9,4,False,800,False
111,60643,41.69215,-87.66017,Illinois,46.33,70,29.82870643827525,16.11,10,29,9,4,False,804,True
112,60616,41.84724,-87.6418,Illinois,46.47,70,29.82870643827525,16.11,10,29,10,4,False,804,False
113,62896,37.89315,-88.94538,Illinois,47.14,93,29.681039574719435,14.99,10,29,10,4,False,804,True
114,62896,37.8924,-88.94547,Illinois,47.14,93,29.681039574719435,14.99,10,29,10,4,False,804,True
115,60477,41.55113,-87.79243000000002,Illinois,46.49,71,29.799173065564087,20.8,10,29,10,4,False,804,True
116,60448,41.551629999999996,-87.82803,Illinois,46.33,81,29.76963969285293,11.41,10,29,10,4,False,804,True
117,60045,42.218,-87.84536,Illinois,45.27,81,29.82870643827525,12.75,10,29,11,4,False,804,False
118,60563,41.8036,-88.20395,Illinois,41.13,80,29.76963969285293,16.11,10,29,8,4,False,802,False
119,60563,41.80154,-88.22896999999998,Illinois,40.98,86,29.799173065564087,13.87,10,29,8,4,False,803,False
120,60163,41.88248,-87.91962,Illinois,43.48,81,29.799173065564087,17.22,10,29,8,4,False,804,True
121,60007,42.0194,-87.94715,Illinois,43.99,81,29.799173065564087,13.87,10,29,10,4,False,804,False
122,61080,42.4742,-88.99524,Illinois,38.61,74,29.799173065564087,14.99,10,29,9,4,False,804,True
123,92065,33.047585999999995,-116.87111000000002,California,65.79,22,30.064973419964556,4.16,10,29,12,4,False,800,False
124,94588,37.660212,-121.904934,California,56.55,66,30.09450679267573,2.04,10,29,12,4,False,711,True
125,94030,37.601574,-122.379065,California,59.23,54,30.064973419964556,3.18,10,29,12,4,False,800,False
126,95131,37.382116,-121.904289,California,54.48,50,30.09450679267573,0.96,10,29,12,4,False,721,True
127,95503,40.764085,-124.149451,California,47.44,61,30.09450679267573,10.29,10,29,12,4,False,800,False
128,92220,33.92434,-116.883099,California,52.68,45,30.035440047253395,3.36,10,29,3,4,False,800,True
129,91206,34.156445,-118.250355,California,68.16,44,30.064973419964556,1.63,10,29,12,4,False,800,False
130,90221,33.888992,-118.188797,California,66.18,39,30.035440047253395,1.36,10,29,12,4,False,800,False
131,90805,33.876717,-118.185972,California,66.31,42,30.035440047253395,1.34,10,29,12,4,False,800,False
132,91010,34.135225,-117.977525,California,74.53,19,30.09450679267573,4.7,10,29,12,4,False,800,True
133,90606,33.974039000000005,-118.080118,California,65.25,48,30.035440047253395,3.36,10,29,12,4,False,721,False
134,91206,34.156445,-118.250355,California,69.69,44,30.064973419964556,1.63,10,29,12,4,False,800,False
135,95357,37.642195,-120.905802,California,53.24,75,30.12404016538689,4.7,10,29,12,4,False,721,False
136,95388,37.396605,-120.622374,California,52.72,70,30.09450679267573,2.37,10,29,12,4,False,721,False
137,95062,36.967327,-121.959816,California,62.02,53,30.09450679267573,1.19,10,29,12,4,False,800,False
138,95820,38.550424,-121.427177,California,56.46,76,30.09450679267573,3.04,10,29,12,4,False,800,False
139,95822,38.538279,-121.513429,California,56.53,76,30.09450679267573,3.91,10,29,12,4,False,800,True
140,95822,38.536806,-121.515047,California,57.18,76,30.09450679267573,3.94,10,29,12,4,False,800,True
141,30125,34.032852,-85.24552,Georgia,70.9,88,29.47430596574129,13.87,10,29,3,4,False,502,True
142,30701,34.496068,-84.951624,Georgia,69.94,94,29.41523922031897,24.16,10,29,4,4,False,804,True
143,30176,33.744376,-85.288096,Georgia,71.73,94,29.444772593030123,19.46,10,29,4,4,False,500,True
144,30180,33.723724,-84.93948,Georgia,71.4,88,29.503839338452448,21.92,10,29,5,4,False,501,True
145,30121,34.208216,-84.798928,Georgia,72.05,88,29.47430596574129,26.4,10,29,6,4,False,501,True
146,30168,33.805984,-84.63648,Georgia,72.95,94,29.53337271116361,21.92,10,29,6,4,False,500,True
147,30701,34.496752,-84.951912,Georgia,71.31,94,29.41523922031897,14.99,10,29,6,4,False,804,True
148,30559,34.92042,-84.278984,Georgia,68.72,94,29.3857058476078,16.11,10,29,6,4,False,501,False
149,30188,34.08758,-84.484576,Georgia,72.72,88,29.59243945658595,14.99,10,29,7,4,False,500,True
150,30121,34.208044,-84.798992,Georgia,72.84,88,29.621972829297107,14.99,10,29,7,4,False,804,True
151,30529,34.209764,-83.480496,Georgia,72.81,94,29.562906083874783,24.16,10,29,7,4,False,804,False
152,30121,34.208344,-84.798872,Georgia,72.79,88,29.621972829297107,14.99,10,29,7,4,False,804,True
153,30075,34.007996,-84.35378399999998,Georgia,72.75,94,29.621972829297107,21.92,10,29,7,4,False,500,False
154,30529,34.23378,-83.452424,Georgia,72.88,94,29.59243945658595,20.8,10,29,7,4,False,804,False
155,30513,34.862868,-84.334248,Georgia,69.84,94,29.444772593030123,19.46,10,29,8,4,False,501,True
156,30747,34.477452,-85.348208,Georgia,70.9,94,29.621972829297107,6.93,10,29,8,4,False,804,True
157,30024,34.035276,-84.08752,Georgia,72.57,100,29.681039574719435,14.99,10,29,8,4,False,500,True
158,30701,34.471436,-84.920216,Georgia,71.94,100,29.710572947430602,9.17,10,29,10,4,False,804,True
159,30108,33.53844,-85.253312,Georgia,73.85,88,29.740106320141763,3.36,10,29,10,4,False,804,True
160,30153,34.010848,-85.044336,Georgia,73.42,83,29.710572947430602,6.93,10,29,10,4,False,803,True
161,30528,34.59688,-83.766848,Georgia,70.5,83,29.59243945658595,17.22,10,29,10,4,False,804,True
162,30331,33.69,-84.5,Georgia,75.63,78,29.710572947430602,10.29,10,29,11,4,False,804,True
163,30291,33.568000000000005,-84.539,Georgia,76.05,73,29.710572947430602,10.29,10,29,11,4,False,803,True
164,30132,33.910532,-84.803432,Georgia,75.42,83,29.710572947430602,13.87,10,29,12,4,False,804,True
165,30517,34.12016,-83.76299200000003,Georgia,76.23,78,29.681039574719435,14.99,10,29,12,4,False,501,False
166,30678,33.470882,-83.035624,Georgia,80.46,74,29.76963969285293,5.82,10,29,12,4,False,803,True
167,31029,33.039096,-83.930752,Georgia,78.87,78,29.740106320141763,8.05,10,29,12,4,False,804,True
168,30701,34.524344,-84.970504,Georgia,75.42,69,29.681039574719435,13.87,10,29,12,4,False,802,True
169,30084,33.82816,-84.252176,Georgia,75.61,83,29.681039574719435,13.87,10,29,12,4,False,804,True
170,30032,33.71434,-84.26854399999998,Georgia,76.41,73,29.710572947430602,10.29,10,29,12,4,False,803,True
171,30735,34.580628000000004,-84.942952,Georgia,75.81,69,29.681039574719435,13.87,10,29,12,4,False,802,True
172,30080,33.872679999999995,-84.475848,Georgia,75.74,78,29.681039574719435,10.29,10,29,12,4,False,804,True
173,30269,33.342076,-84.53479200000002,Georgia,77.07,78,29.740106320141763,10.29,10,29,12,4,False,804,False
174,30032,33.751032,-84.231808,Georgia,76.37,83,29.710572947430602,13.87,10,29,12,4,False,804,True
175,60628,41.70768,-87.59194000000002,Illinois,41.99,51,29.858239810986408,3.36,10,29,3,4,False,804,True
176,62530,39.56636,-89.64598000000002,Illinois,43.07,81,29.740106320141763,10.29,10,29,8,4,False,804,False
177,60448,41.55163,-87.82803,Illinois,46.33,81,29.76963969285293,11.41,10,29,10,4,False,804,True
178,60045,42.24013,-87.90333000000004,Illinois,46.18,66,29.82870643827525,13.87,10,29,12,4,False,804,False
179,92610,33.672598,-117.66296100000001,California,59.85,8,30.005906674542235,23.04,10,26,11,1,False,801,False
180,92676,33.781428000000005,-117.748815,California,63.77,5,30.005906674542235,14.99,10,27,10,2,False,711,False
181,92862,33.782666,-117.74843999999999,California,50.2,44,30.09450679267573,0.65,10,28,10,3,False,711,False
182,70129,30.07429,-89.86205,Louisiana,75.16,88,29.29710572947431,18.34,10,28,18,3,False,502,True
183,70091,29.257978,-89.36717800000002,Louisiana,79.83,83,29.47430596574129,55.03,10,28,18,3,False,501,False
184,70533,29.875609999999998,-92.05606,Louisiana,78.75,36,29.65150620200827,14.14,10,28,18,3,False,500,False
185,70510,29.64664,-92.44439,Louisiana,78.64,29,29.65150620200827,16.55,10,28,18,3,False,500,False
186,70421,30.29723,-90.402985,Louisiana,74.26,99,29.208505611340808,5.01,10,28,19,3,False,503,False
187,70085,29.86827000000001,-89.89099499999998,Louisiana,74.95,100,29.178972238629648,16.11,10,28,19,3,False,804,False
188,36526,30.67682000000001,-87.98654,Alabama,77.13,94,29.59243945658595,25.28,10,28,20,3,False,501,False
189,36527,30.668328999999996,-87.910978,Alabama,77.22,94,29.59243945658595,23.13,10,28,20,3,False,501,True
190,70032,29.956405,-90.000945,Louisiana,74.3,100,29.326639102185467,16.11,10,28,20,3,False,500,True
191,70116,29.9592,-90.06655,Louisiana,74.44,88,29.3857058476078,23.04,10,28,20,3,False,500,True
192,36602,30.690890000000003,-88.02618000000002,Alabama,77.74,94,29.53337271116361,35.28,10,28,21,3,False,502,True
193,70445,30.308970000000002,-89.89734,Louisiana,73.9,88,29.326639102185467,23.04,10,28,21,3,False,500,True
194,70373,29.564740000000004,-90.38498299999999,Louisiana,74.84,100,29.681039574719435,13.87,10,28,23,3,False,804,True
195,70072,29.76509,-90.10044,Louisiana,75.04,100,29.710572947430602,13.87,10,28,23,3,False,804,False
196,70068,30.098390000000002,-90.43839,Louisiana,74.28,94,29.710572947430602,11.41,10,29,0,4,False,804,True
197,39530,30.406470000000002,-88.894665,Mississippi,74.68,88,29.65150620200827,14.99,10,29,0,4,False,804,True
198,70072,29.746090000000002,-90.13748000000001,Louisiana,74.3,94,29.740106320141763,16.11,10,29,0,4,False,300,True
199,70632,29.81588,-93.11126999999999,Louisiana,49.41,87,29.887773183697576,10.29,10,29,2,4,False,800,True
200,70085,29.83899000000001,-89.68753000000002,Louisiana,73.98,88,29.710572947430602,8.05,10,29,2,4,False,803,True
201,70085,29.80797,-89.76411,Louisiana,73.9,88,29.740106320141763,8.05,10,29,2,4,False,803,True
202,70452,30.33847,-89.75057,Louisiana,72.99,88,29.710572947430602,4.7,10,29,3,4,False,804,True
203,11207,40.678349,-73.897051,NY,54.79,71,29.917306556408743,6.93,10,29,4,4,False,803,False
204,38122,35.154078999999996,-89.887135,Tennessee,59.88,93,29.562906083874783,11.41,10,29,5,4,False,501,False
